# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mRCmin[Weight_MERGING=0.000] //Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mRCmin
LegendOnly=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mRCmin
RatioPlot=1
RatioPlotReference=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mRCmin
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mRCmin[Weight_MERGING=0.000]
LineColor=red!30
LineStyle=solid
Path=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mRCmin[Weight_MERGING=0.000]
ScaledBy=1.00000000000000000e+00
Title=WW
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	3.766651e-05	2.704298e-06	2.704298e-06
1.000000e+00	2.000000e+00	1.129995e-04	4.683981e-06	4.683981e-06
2.000000e+00	3.000000e+00	2.025060e-04	6.270408e-06	6.270408e-06
3.000000e+00	4.000000e+00	2.772566e-04	7.336987e-06	7.336987e-06
4.000000e+00	5.000000e+00	3.574435e-04	8.330682e-06	8.330682e-06
5.000000e+00	6.000000e+00	4.539397e-04	9.388061e-06	9.388061e-06
6.000000e+00	7.000000e+00	5.114102e-04	9.964638e-06	9.964638e-06
7.000000e+00	8.000000e+00	5.995576e-04	1.078928e-05	1.078928e-05
8.000000e+00	9.000000e+00	6.869284e-04	1.154868e-05	1.154868e-05
9.000000e+00	1.000000e+01	7.746875e-04	1.226422e-05	1.226422e-05
1.000000e+01	1.100000e+01	8.366237e-04	1.274506e-05	1.274506e-05
1.100000e+01	1.200000e+01	8.968124e-04	1.319556e-05	1.319556e-05
1.200000e+01	1.300000e+01	9.744753e-04	1.375505e-05	1.375505e-05
1.300000e+01	1.400000e+01	1.062040e-03	1.435976e-05	1.435976e-05
1.400000e+01	1.500000e+01	1.149217e-03	1.493750e-05	1.493750e-05
1.500000e+01	1.600000e+01	1.222026e-03	1.540342e-05	1.540342e-05
1.600000e+01	1.700000e+01	1.302213e-03	1.590076e-05	1.590076e-05
1.700000e+01	1.800000e+01	1.359683e-03	1.624784e-05	1.624784e-05
1.800000e+01	1.900000e+01	1.423367e-03	1.662399e-05	1.662399e-05
1.900000e+01	2.000000e+01	1.508602e-03	1.711450e-05	1.711450e-05
2.000000e+01	2.100000e+01	1.571315e-03	1.746660e-05	1.746660e-05
2.100000e+01	2.200000e+01	1.606457e-03	1.766084e-05	1.766084e-05
2.200000e+01	2.300000e+01	1.714603e-03	1.824562e-05	1.824562e-05
2.300000e+01	2.400000e+01	1.754599e-03	1.845720e-05	1.845720e-05
2.400000e+01	2.500000e+01	1.811681e-03	1.875503e-05	1.875503e-05
2.500000e+01	2.600000e+01	1.899635e-03	1.920489e-05	1.920489e-05
2.600000e+01	2.700000e+01	1.925846e-03	1.933693e-05	1.933693e-05
2.700000e+01	2.800000e+01	2.048748e-03	1.994440e-05	1.994440e-05
2.800000e+01	2.900000e+01	2.092627e-03	2.015685e-05	2.015685e-05
2.900000e+01	3.000000e+01	2.113596e-03	2.025759e-05	2.025759e-05
3.000000e+01	3.100000e+01	2.211257e-03	2.072032e-05	2.072032e-05
3.100000e+01	3.200000e+01	2.198054e-03	2.065837e-05	2.065837e-05
3.200000e+01	3.300000e+01	2.259991e-03	2.094740e-05	2.094740e-05
3.300000e+01	3.400000e+01	2.337071e-03	2.130163e-05	2.130163e-05
3.400000e+01	3.500000e+01	2.392988e-03	2.155496e-05	2.155496e-05
3.500000e+01	3.600000e+01	2.371825e-03	2.145943e-05	2.145943e-05
3.600000e+01	3.700000e+01	2.440557e-03	2.176814e-05	2.176814e-05
3.700000e+01	3.800000e+01	2.457060e-03	2.184161e-05	2.184161e-05
