# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mRecoil[Weight_MERGING=0.000] //Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mRecoil
LegendOnly=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mRecoil
RatioPlot=1
RatioPlotReference=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mRecoil
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mRecoil[Weight_MERGING=0.000]
LineColor=red!30
LineStyle=solid
Path=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mRecoil[Weight_MERGING=0.000]
ScaledBy=1.00000000000000000e+00
Title=WW
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	2.000000e+00	9.416628e-05	4.275871e-06	4.275871e-06
2.000000e+00	3.000000e+00	1.648395e-04	5.657278e-06	5.657278e-06
3.000000e+00	4.000000e+00	2.289114e-04	6.666695e-06	6.666695e-06
4.000000e+00	5.000000e+00	2.951191e-04	7.569644e-06	7.569644e-06
5.000000e+00	6.000000e+00	3.564727e-04	8.319362e-06	8.319362e-06
6.000000e+00	7.000000e+00	4.327766e-04	9.166608e-06	9.166608e-06
7.000000e+00	8.000000e+00	5.057797e-04	9.909632e-06	9.909632e-06
8.000000e+00	9.000000e+00	5.451936e-04	1.028850e-05	1.028850e-05
9.000000e+00	1.000000e+01	6.139253e-04	1.091779e-05	1.091779e-05
1.000000e+01	1.100000e+01	6.651828e-04	1.136442e-05	1.136442e-05
1.100000e+01	1.200000e+01	7.632322e-04	1.217321e-05	1.217321e-05
1.200000e+01	1.300000e+01	8.059468e-04	1.250921e-05	1.250921e-05
1.300000e+01	1.400000e+01	8.814740e-04	1.308222e-05	1.308222e-05
1.400000e+01	1.500000e+01	9.492349e-04	1.357575e-05	1.357575e-05
1.500000e+01	1.600000e+01	1.018937e-03	1.406535e-05	1.406535e-05
1.600000e+01	1.700000e+01	1.128442e-03	1.480186e-05	1.480186e-05
1.700000e+01	1.800000e+01	1.189213e-03	1.519521e-05	1.519521e-05
1.800000e+01	1.900000e+01	1.230763e-03	1.545838e-05	1.545838e-05
1.900000e+01	2.000000e+01	1.318134e-03	1.599766e-05	1.599766e-05
2.000000e+01	2.100000e+01	1.428609e-03	1.665458e-05	1.665458e-05
2.100000e+01	2.200000e+01	1.494040e-03	1.703170e-05	1.703170e-05
2.200000e+01	2.300000e+01	1.565684e-03	1.743528e-05	1.743528e-05
2.300000e+01	2.400000e+01	1.666452e-03	1.798760e-05	1.798760e-05
2.400000e+01	2.500000e+01	1.739455e-03	1.837737e-05	1.837737e-05
2.500000e+01	2.600000e+01	1.793431e-03	1.866032e-05	1.866032e-05
2.600000e+01	2.700000e+01	1.865463e-03	1.903137e-05	1.903137e-05
2.700000e+01	2.800000e+01	1.963512e-03	1.952512e-05	1.952512e-05
2.800000e+01	2.900000e+01	2.070299e-03	2.004903e-05	2.004903e-05
2.900000e+01	3.000000e+01	2.128546e-03	2.032911e-05	2.032911e-05
3.000000e+01	3.100000e+01	2.183493e-03	2.058983e-05	2.058983e-05
3.100000e+01	3.200000e+01	2.223877e-03	2.077936e-05	2.077936e-05
3.200000e+01	3.300000e+01	2.244070e-03	2.087349e-05	2.087349e-05
3.300000e+01	3.400000e+01	2.209898e-03	2.071395e-05	2.071395e-05
3.400000e+01	3.500000e+01	2.286396e-03	2.106942e-05	2.106942e-05
3.500000e+01	3.600000e+01	2.199025e-03	2.066293e-05	2.066293e-05
3.600000e+01	3.700000e+01	2.239022e-03	2.085000e-05	2.085000e-05
3.700000e+01	3.800000e+01	2.240575e-03	2.085723e-05	2.085723e-05
3.800000e+01	3.900000e+01	2.215334e-03	2.073941e-05	2.073941e-05
3.900000e+01	4.000000e+01	2.167960e-03	2.051646e-05	2.051646e-05
4.000000e+01	4.100000e+01	2.186211e-03	2.060264e-05	2.060264e-05
4.100000e+01	4.200000e+01	2.165436e-03	2.050451e-05	2.050451e-05
4.200000e+01	4.300000e+01	2.152427e-03	2.044283e-05	2.044283e-05
4.300000e+01	4.400000e+01	2.138254e-03	2.037542e-05	2.037542e-05
4.400000e+01	4.500000e+01	2.126605e-03	2.031984e-05	2.031984e-05
4.500000e+01	4.600000e+01	2.091074e-03	2.014937e-05	2.014937e-05
4.600000e+01	4.700000e+01	2.027196e-03	1.983923e-05	1.983923e-05
4.700000e+01	4.800000e+01	2.051466e-03	1.995763e-05	1.995763e-05
4.800000e+01	4.900000e+01	2.023119e-03	1.981926e-05	1.981926e-05
4.900000e+01	5.000000e+01	2.018265e-03	1.979547e-05	1.979547e-05
5.000000e+01	5.100000e+01	1.967978e-03	1.954731e-05	1.954731e-05
5.100000e+01	5.200000e+01	1.954193e-03	1.947873e-05	1.947873e-05
5.200000e+01	5.300000e+01	1.942349e-03	1.941961e-05	1.941961e-05
5.300000e+01	5.400000e+01	1.954193e-03	1.947873e-05	1.947873e-05
5.400000e+01	5.500000e+01	1.903518e-03	1.922451e-05	1.922451e-05
5.500000e+01	5.600000e+01	1.879831e-03	1.910452e-05	1.910452e-05
5.600000e+01	5.700000e+01	1.847018e-03	1.893705e-05	1.893705e-05
5.700000e+01	5.800000e+01	1.792072e-03	1.865325e-05	1.865325e-05
5.800000e+01	5.900000e+01	1.812846e-03	1.876106e-05	1.876106e-05
5.900000e+01	6.000000e+01	1.787412e-03	1.862898e-05	1.862898e-05
6.000000e+01	6.100000e+01	1.730135e-03	1.832808e-05	1.832808e-05
6.100000e+01	6.200000e+01	1.684314e-03	1.808375e-05	1.808375e-05
6.200000e+01	6.300000e+01	1.697323e-03	1.815345e-05	1.815345e-05
6.300000e+01	6.400000e+01	1.642765e-03	1.785930e-05	1.785930e-05
6.400000e+01	6.500000e+01	1.624902e-03	1.776194e-05	1.776194e-05
6.500000e+01	6.600000e+01	1.568014e-03	1.744825e-05	1.744825e-05
