# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mll[Weight_MERGING=0.000] //Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mll
LegendOnly=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mll
RatioPlot=1
RatioPlotReference=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mll
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mll[Weight_MERGING=0.000]
LineColor=red!30
LineStyle=solid
Path=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mll[Weight_MERGING=0.000]
ScaledBy=1.00000000000000000e+00
Title=WW
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	3.000000e+00	1.941573e-07	1.941573e-07	1.941573e-07
3.000000e+00	4.000000e+00	5.824718e-07	3.362902e-07	3.362902e-07
4.000000e+00	5.000000e+00	1.164944e-06	4.755863e-07	4.755863e-07
5.000000e+00	6.000000e+00	1.359101e-06	5.136918e-07	5.136918e-07
6.000000e+00	7.000000e+00	4.465617e-06	9.311455e-07	9.311455e-07
7.000000e+00	8.000000e+00	1.223191e-05	1.541076e-06	1.541076e-06
8.000000e+00	9.000000e+00	2.388134e-05	2.153308e-06	2.153308e-06
9.000000e+00	1.000000e+01	4.038471e-05	2.800176e-06	2.800176e-06
1.000000e+01	1.100000e+01	5.494651e-05	3.266230e-06	3.266230e-06
1.100000e+01	1.200000e+01	6.970246e-05	3.678755e-06	3.678755e-06
1.200000e+01	1.300000e+01	8.484673e-05	4.058770e-06	4.058770e-06
1.300000e+01	1.400000e+01	1.017384e-04	4.444463e-06	4.444463e-06
1.400000e+01	1.500000e+01	1.106696e-04	4.635442e-06	4.635442e-06
1.500000e+01	1.600000e+01	1.182418e-04	4.791399e-06	4.791399e-06
1.600000e+01	1.700000e+01	1.339685e-04	5.100094e-06	5.100094e-06
1.700000e+01	1.800000e+01	1.368809e-04	5.155232e-06	5.155232e-06
1.800000e+01	1.900000e+01	1.514427e-04	5.422518e-06	5.422518e-06
